Datums,Summa,Kategorija,Apraksts
2025-04-30,44.91,Higiēna,"šampūns, matu balzāms, dušas želeja, tualetes papīrs"
2025-07-22,7.91,Ēdiens,Pusdienas Ezītī
2025-01-29,205.00,Veselība,Zobu labošana
2025-12-31,42.99,Apģērbs un apavi,Kleita
2024-11-22,100.32,Izklaide,Avārijas brigādes apmeklējums
2025-12-14,55.92,Izklaide,Cirks
2025-01-11,4.22,Ēdiens,Salami desa
2025-07-30,82.94,Komunālie maksājumi,Atrkitumu izvešana un karstais ūdens
2025-11-22,34.66,Našķi,Kūkas un cepumi
2025-04-11,30.44,Higiēna,Zobu birstes un zobu pastas
